Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
7915,Suryakumar Yadav,England,8,7.0,0.0,321.0,117.0,0,45.85,179.0,179.32,1.0,1.0,0.0,34.0,16.0
7915,Suryakumar Yadav,Hong Kong,1,1.0,1.0,68.0,68.0,1,,26.0,261.53,0.0,1.0,0.0,6.0,6.0
7915,Suryakumar Yadav,Ireland,3,3.0,0.0,17.0,15.0,0,5.66,10.0,170.0,0.0,0.0,1.0,2.0,1.0
7915,Suryakumar Yadav,Namibia,1,1.0,1.0,25.0,25.0,1,,19.0,131.57,0.0,0.0,0.0,4.0,0.0
7915,Suryakumar Yadav,Netherlands,1,1.0,1.0,51.0,51.0,1,,25.0,204.0,0.0,1.0,0.0,7.0,1.0
7915,Suryakumar Yadav,New Zealand,8,8.0,2.0,284.0,111.0,1,47.33,185.0,153.51,1.0,1.0,1.0,26.0,15.0
7915,Suryakumar Yadav,Pakistan,5,5.0,0.0,64.0,18.0,0,12.8,54.0,118.51,0.0,0.0,0.0,7.0,1.0
7915,Suryakumar Yadav,Scotland,1,1.0,1.0,6.0,6.0,1,,2.0,300.0,0.0,0.0,0.0,0.0,1.0
7915,Suryakumar Yadav,South Africa,7,7.0,1.0,346.0,100.0,0,57.66,197.0,175.63,1.0,4.0,0.0,28.0,23.0
7915,Suryakumar Yadav,Sri Lanka,8,8.0,1.0,346.0,112.0,1,49.42,207.0,167.14,1.0,3.0,0.0,30.0,18.0
7915,Suryakumar Yadav,U.S.A.,1,1.0,1.0,50.0,50.0,1,,49.0,102.04,0.0,1.0,0.0,2.0,2.0
7915,Suryakumar Yadav,West Indies,12,11.0,1.0,408.0,83.0,0,40.8,248.0,164.51,0.0,4.0,0.0,35.0,24.0
7915,Suryakumar Yadav,Zimbabwe,1,1.0,1.0,61.0,61.0,1,,25.0,244.0,0.0,1.0,0.0,6.0,4.0
14504,Tilak Verma,Afghanistan,2,1.0,0.0,26.0,26.0,0,26.0,22.0,118.18,0.0,0.0,0.0,2.0,1.0
